"Title","Type","Availability","MSRP Currency","MSRP","Show Price Currency","Show Price","Publisher","Location","Priority","Notes","Thumbs","BGGId","BGGVersionId","Mfg Product Code","Release Date","Override Release Date","Events"
"Shackleton Base: Below. Within. Above.","Expansion","For Sale","USD",50,"N/A","N/A","Pandasaurus Games","Booth #215","N/A","N/A",70,"453037","791996","","0000-00-00","Apr/May 2026",""
"Kingdom Crossing","Standalone","For Sale","USD",50,"N/A","N/A","Pandasaurus Games","Booth #215","N/A","N/A",62,"437245","794990","","2026-08-05","",""
"Gulo Gulo","Standalone","For Sale","USD",40,"N/A","N/A","Pandasaurus Games","Booth #215","N/A","N/A",28,"6351","800056","PANGULOCORE","2026-08-00","",""
"Sandcastles","Standalone","For Sale","USD",20,"N/A","N/A","Pandasaurus Games","Booth #215","N/A","N/A",34,"469599","799475","","0000-00-00","August 2026",""
"7th Seal","Standalone","For Sale","N/A","N/A","N/A","N/A","Devir","","N/A","N/A",28,"457575","779027","","0000-00-00","",""
"Rock Hard 1977: Ear Candy","Expansion","For Sale","N/A","N/A","N/A","N/A","Devir","","N/A","N/A",57,"457581","779046","","0000-00-00","",""
"Claustrophobia 1692","Standalone","Demo","N/A","N/A","N/A","N/A","Devir","","N/A","N/A",28,"456364","776910","","0000-00-00","Q4 2026",""
"Crits & Tricks","Standalone","For Sale","N/A","N/A","N/A","N/A","Inside Up Games","","N/A","N/A",40,"436907","741688","IUG_019 1ST PR","2026-01-00","Q2 2026",""
"Thieves of Eldris","Standalone","For Sale","N/A","N/A","N/A","N/A","Inside Up Games","","N/A","N/A",13,"436908","741690","","2026-01-00","Q2 2026",""
"Tug of Roar","Standalone","For Sale","N/A","N/A","N/A","N/A","Inside Up Games","","N/A","N/A",12,"436909","741693","","2026-01-00","Q2 2026",""
"Earth: Animal Kingdom","Expansion","For Sale","N/A","N/A","N/A","N/A","Inside Up Games","","N/A","N/A",34,"442298","752082","","2026-01-00","Q2 2026",""
"Kalypso","Standalone","Demo","N/A","N/A","N/A","N/A","Inside Up Games","","N/A","N/A",53,"446453","758979","","2026-09-00","",""
"The Adventure Store","Standalone","Demo","N/A","N/A","N/A","N/A","Inside Up Games","","N/A","N/A",13,"470760","801250","IUG029","2027-08-00","",""
"Behind the Lens: Photographing Earth","Standalone","Demo","N/A","N/A","N/A","N/A","Inside Up Games","","N/A","N/A",35,"467573","796017","IUG027","0000-00-00","",""
"Treat, Please!","Standalone","For Sale","N/A","N/A","USD",35,"Solis Game Studio","Booth 2340","N/A","N/A",9,"429333","728867","","2026-02-00","",""
"Six-Sided Seas","Standalone","For Sale","N/A","N/A","USD",25,"Solis Game Studio","Booth 2340","N/A","N/A",5,"462764","787653","","2026-08-00","",""
"Queen of Spies","Standalone","For Sale","USD",40,"N/A","N/A","Salt & Pepper Games","Booth #2666","N/A","N/A",36,"454119","773108","","2026-07-00","",""
"The Glasgow Train Robbery","Standalone","For Sale","USD",40,"N/A","N/A","Salt & Pepper Games","Booth #2666","N/A","N/A",93,"450539","766148","","2026-05-01","",""
"Diables","Standalone","Demo","USD",80,"N/A","N/A","Salt & Pepper Games","Booth #2666","N/A","N/A",118,"469504","799306","","0000-00-00","",""
"Entropy","Standalone","For Sale","USD",65,"USD",65,"Board&Dice","2527","N/A","N/A",195,"462941","787933","","0000-00-00","",""
"Under the Leaves","Standalone","For Sale","USD",34.99,"USD",34.99,"Grand Gamers Guild","264","N/A","N/A",84,"436751","795382","","0000-00-00","",""
"Kokeshi","Standalone","For Sale","USD",49.99,"USD",49.99,"Grand Gamers Guild","2649","N/A","N/A",115,"415507","763414","","2026-04-00","",""
"Holiday Hijinks #13: The Friday Fright","Standalone","For Sale","USD",10.99,"USD",10.99,"Grand Gamers Guild","2649","N/A","N/A",47,"465899","793252","","0000-00-00","",""
"Holiday Hijinks #14: The Dreidel Dilemma","Standalone","For Sale","USD",10.99,"USD",10.99,"Grand Gamers Guild","2649","N/A","N/A",47,"455629","775529","","0000-00-00","",""
"Shape it","Standalone","For Sale","USD",19.99,"USD",19.99,"Hachette Boardgames USA","Booth 2435","N/A","N/A",4,"463681","789266","RANSHA01EN","2026-04-22","",""
"Leaf It!","Standalone","For Sale","USD",14.99,"USD",14.99,"Hachette Boardgames USA","Booth 2435","N/A","N/A",4,"468567","797760","ESLI01EN","2026-06-03","",""
"Excursions","Standalone","Demo","N/A","N/A","N/A","N/A","Kinson Key Games","Booth #2842","N/A","N/A",96,"468800","798195","","2027-00-00","",""
"Galactic Cruise: Perfect Planning Promo Card","Expansion","For Sale","USD",3,"USD",3,"Kinson Key Games","Booth #2842","N/A","N/A",31,"470410","800816","","0000-00-00","",""
"Canal Houses","Standalone","For Sale","USD",16.99,"USD",16.99,"Hachette Boardgames USA","Booth 2435","N/A","N/A",22,"404845","798468","GJBBELL-EN","2026-04-15","",""
"Akropolis: Pantheon","Expansion","For Sale","USD",16.99,"USD",16.99,"Hachette Boardgames USA","Booth 2435","N/A","N/A",29,"461828","790546","","2026-04-15","",""
"Forage","Standalone","For Sale","USD",24.99,"N/A","N/A","Flatout Games","","N/A","N/A",60,"458390","780472","","0000-00-00","Q3 2026",""
"Honeypot","Standalone","For Sale","USD",24.99,"N/A","N/A","Flatout Games","","N/A","N/A",50,"458391","780473","","0000-00-00","Q3 2026",""
"Cascadia: Alpine Lakes","Standalone","For Sale","USD",49.99,"N/A","N/A","Flatout Games","","N/A","N/A",89,"446815","759579","","0000-00-00","Q3 2026",""
"Panic Lab","Standalone","For Sale","USD",16.99,"USD",16.99,"Hachette Boardgames USA","Booth 2435","N/A","N/A",5,"121073","801917","GBPL-US","2026-06-00","",""
"Hacienda","Standalone","For Sale","USD",40,"N/A","N/A","Pandasaurus Games","Booth #215","N/A","N/A",34,"450713","766532","","0000-00-00","Q1 2026",""
"Moustache","Standalone","For Sale","USD",25,"N/A","N/A","Pandasaurus Games","Booth #215","N/A","N/A",35,"448428","801949","","2026-09-00","",""
"Gold Country","Standalone","For Sale","USD",45,"N/A","N/A","Bitewing Games","1253","N/A","N/A",58,"461367","785419","","2026-00-00","",""
"Totally Human","Standalone","For Sale","USD",28,"N/A","N/A","Bitewing Games","1253","N/A","N/A",17,"462206","786694","","0000-00-00","",""
"Azure","Standalone","For Sale","USD",30,"N/A","N/A","Bitewing Games","1253","N/A","N/A",35,"447254","760373","","0000-00-00","Q3 2026",""
"Moytura","Standalone","For Sale","USD",40,"N/A","N/A","Bitewing Games","1253","N/A","N/A",61,"447252","760367","","0000-00-00","Q3 2026",""
"Castle Combo: Out of the Oubliette!","Expansion","For Sale","USD",10,"N/A","N/A","Pandasaurus Games","Booth #215","N/A","N/A",66,"448182","787007","","2026-01-02","",""
"Bombastic","Standalone","For Sale","USD",20,"N/A","N/A","Bitewing Games","1253","N/A","N/A",16,"438845","745669","","2025-11-00","",""
"Gazebo","Standalone","For Sale","USD",40,"N/A","N/A","Bitewing Games","1253","N/A","N/A",36,"440023","748206","","2025-11-00","",""
"Gingham","Standalone","For Sale","USD",40,"N/A","N/A","Bitewing Games","1253","N/A","N/A",35,"440024","748207","","2025-11-00","",""
"Quartermaster General: West Front","Standalone","Demo","N/A","N/A","N/A","N/A","Ares Games","#331","N/A","N/A",5,"463097","788190","ARTG031","0000-00-00","Q4 2026",""
"Vampire Survivors: The Board Game","Standalone","For Sale","USD",79,"USD",79,"Grey Fox Games","","N/A","N/A",26,"447125","760138","","2026-12-00","",""
